AccumulatedPower,Cadence,Distance,FractionalCadence,HeartRate,LeftRightBalance,Power,Temperature,Timestamp
295,94,0,0,143,181,295,18,1013616118
560,98,0,0,145,174,265,18,1013616119
861,101,0,0,145,178,301,18,1013616120
1062,91,0,0,147,199,201,18,1013616121
1375,85,0,0,147,180,313,18,1013616122
1633,90,0,0,147,172,258,18,1013616123
1861,91,0,0,148,176,228,18,1013616124
2094,91,0,0,148,174,233,18,1013616125
2364,91,0,0,149,186,270,18,1013616126
2705,92,0,0,150,178,341,18,1013616127
3244,102,0,0,151,174,539,18,1013616128
3754,111,0,0,151,182,510,18,1013616129
4271,105,0,0,154,177,517,18,1013616130
4765,103,0,0,155,172,494,18,1013616131
5375,97,0,0,157,181,610,18,1013616132
5984,103,0,0,159,175,609,18,1013616133
6616,106,0,0,159,176,632,18,1013616134
7268,108,0,0,161,178,652,18,1013616135
7904,108,0,0,162,185,636,18,1013616136
8827,108,0,0,165,174,923,18,1013616137
9728,115,0,0,166,176,901,18,1013616138
10478,116,0,0,169,175,750,18,1013616139
11468,106,0,0,170,175,990,18,1013616140
12480,107,0,0,172,178,1012,18,1013616141
13354,109,0,0,173,175,874,18,1013616142
14217,107,0,0,176,176,863,18,1013616143
15117,106,0,0,178,177,900,18,1013616144
16005,103,0,0,179,178,888,18,1013616145
16771,101,0,0,182,175,766,18,1013616146
17617,100,0,0,183,176,846,18,1013616147
18283,99,0,0,185,175,666,18,1013616148
18964,95,0,0,187,179,681,18,1013616149
19662,96,0,0,188,177,698,18,1013616150
20399,103,0,0,189,177,737,18,1013616151
21129,103,0,0,189,173,730,18,1013616152
21747,102,0,0,190,177,618,18,1013616153
22376,100,0,0,191,175,629,18,1013616154
22985,98,0,0,192,174,609,18,1013616155
23552,103,0,0,192,176,567,18,1013616156
24117,102,0,0,193,178,565,18,1013616157
24619,100,0,0,192,179,502,18,1013616158
25178,100,0,0,193,176,559,18,1013616159
25708,100,0,0,192,177,530,18,1013616160
26135,98,0,0,192,179,427,18,1013616161
26582,96,0,0,192,178,447,18,1013616162
27045,98,0,0,192,180,463,18,1013616163
27540,100,0,0,192,176,495,18,1013616164
28008,102,0,0,192,176,468,18,1013616165
28669,99,0,0,191,182,661,18,1013616166
29351,103,0,0,192,174,682,18,1013616167
29802,103,0,0,191,180,451,18,1013616168
30246,101,0,0,192,173,444,18,1013616169
30737,98,0,0,192,179,491,18,1013616170
31235,97,0,0,190,178,498,18,1013616171
31681,96,0,0,190,179,446,18,1013616172
32131,95,0,0,191,178,450,18,1013616173
32525,94,0,0,192,175,394,18,1013616174
32930,97,0,0,192,178,405,18,1013616175
33376,97,0,0,192,180,446,18,1013616176
33741,98,0,0,192,174,365,18,1013616177
34041,93,0,0,193,179,300,18,1013616178
34361,91,0,0,193,178,320,18,1013616179
34470,89,0,0,193,169,109,18,1013616180
34648,86,0,0,193,186,178,17,1013616181
34838,83,0,0,192,176,190,18,1013616182
34923,86,0,0,192,186,85,18,1013616183
35023,87,0,0,192,180,100,18,1013616184
35181,83,0,0,191,176,158,18,1013616185
35354,83,0,0,190,181,173,18,1013616186
35558,83,0,0,189,183,204,18,1013616187
35719,86,0,0,189,173,161,18,1013616188
35927,86,0,0,189,182,208,18,1013616189
36155,87,0,0,188,181,228,17,1013616190
36375,89,0,0,188,179,220,18,1013616191
36724,95,0,0,187,175,349,17,1013616192
37056,102,0,0,186,177,332,17,1013616193
37435,99,0,0,186,176,379,17,1013616194
37780,100,0,0,186,178,345,17,1013616195
38135,99,0,0,186,184,355,17,1013616196
38455,98,0,0,185,178,320,17,1013616197
38852,98,0,0,186,179,397,17,1013616198
39220,99,0,0,185,179,368,17,1013616199
39581,100,0,0,184,178,361,17,1013616200
39959,100,0,0,184,175,378,17,1013616201
40359,98,0,0,184,187,400,17,1013616202
40760,96,0,0,185,178,401,17,1013616203
41158,96,0,0,185,180,398,17,1013616204
41550,96,0,0,186,179,392,17,1013616205
41928,95,0,0,186,180,378,17,1013616206
42270,95,0,0,185,173,342,17,1013616207
42460,91,0,0,186,177,190,17,1013616208
42654,89,0,0,186,186,194,17,1013616209
42843,90,0,0,186,178,189,17,1013616210
43014,94,0,0,187,178,171,17,1013616211
43184,96,0,0,186,185,170,17,1013616212
43364,94,0,0,186,176,180,17,1013616213
43572,94,0,0,186,180,208,17,1013616214
43769,94,0,0,185,172,197,17,1013616215
43925,93,0,0,186,173,156,17,1013616216
44107,90,0,0,186,181,182,17,1013616217
44328,90,0,0,186,178,221,17,1013616218
44533,92,0,0,186,172,205,17,1013616219
44724,92,0,0,185,178,191,17,1013616220
44996,93,0,0,185,180,272,17,1013616221
45298,95,0,0,185,182,302,17,1013616222
45655,98,0,0,184,184,357,17,1013616223
45989,97,0,0,184,175,334,17,1013616224
46317,98,0,0,184,178,328,17,1013616225
46644,98,0,0,185,182,327,17,1013616226
46926,95,0,0,185,178,282,17,1013616227
47208,93,0,0,184,177,282,17,1013616228
47497,92,0,0,185,182,289,17,1013616229
47755,92,0,0,185,179,258,17,1013616230
48066,90,0,0,184,184,311,17,1013616231
48386,91,0,0,184,178,320,17,1013616232
48643,91,0,0,184,182,257,17,1013616233
48929,91,0,0,184,182,286,17,1013616234
49258,91,0,0,183,180,329,17,1013616235
49539,93,0,0,183,178,281,17,1013616236
49860,93,0,0,184,176,321,17,1013616237
50150,94,0,0,184,177,290,17,1013616238
50463,94,0,0,184,180,313,17,1013616239
50754,94,0,0,184,177,291,17,1013616240
50994,92,0,0,185,178,240,17,1013616241
51286,91,0,0,185,185,292,17,1013616242
51510,92,0,0,185,181,224,17,1013616243
51815,95,0,0,184,175,305,17,1013616244
52120,97,0,0,185,176,305,17,1013616245
52489,92,0,0,184,184,369,17,1013616246
52871,91,0,0,183,180,382,17,1013616247
53346,94,0,0,183,181,475,17,1013616248
53843,101,0,0,183,181,497,17,1013616249
54294,103,0,0,183,177,451,17,1013616250
54592,98,0,0,184,179,298,17,1013616251
54908,96,0,0,184,181,316,17,1013616252
55127,99,0,0,184,178,219,17,1013616253
55428,92,0,0,184,179,301,17,1013616254
55681,94,0,0,184,178,253,17,1013616255
55964,96,0,0,185,181,283,17,1013616256
56245,96,0,0,185,176,281,17,1013616257
56577,98,0,0,185,180,332,17,1013616258
56990,93,0,0,185,178,413,17,1013616259
57353,94,0,0,185,176,363,17,1013616260
57686,97,0,0,184,176,333,17,1013616261
58015,98,0,0,184,183,329,17,1013616262
58316,95,0,0,184,177,301,17,1013616263
58730,97,0,0,185,180,414,17,1013616264
59157,99,0,0,183,179,427,17,1013616265
59513,104,0,0,184,178,356,17,1013616266
59878,98,0,0,183,180,365,17,1013616267
60357,94,0,0,184,182,479,17,1013616268
60759,96,0,0,184,179,402,17,1013616269
61180,97,0,0,184,180,421,17,1013616270
61609,97,0,0,184,178,429,17,1013616271
61963,96,0,0,184,180,354,17,1013616272
62266,95,0,0,184,173,303,17,1013616273
62529,92,0,0,183,175,263,17,1013616274
62715,90,0,0,184,167,186,17,1013616275
62934,89,0,0,184,172,219,17,1013616276
63102,87,0,0,184,176,168,17,1013616277
63260,87,0,0,183,170,158,17,1013616278
63413,91,0,0,183,179,153,17,1013616279
63596,93,0,0,184,175,183,17,1013616280
63842,94,0,0,184,176,246,17,1013616281
64001,95,0,0,183,182,159,17,1013616282
64228,93,0,0,183,176,227,17,1013616283
64456,93,0,0,183,177,228,17,1013616284
64679,95,0,0,183,172,223,17,1013616285
64918,89,0,0,183,176,239,17,1013616286
65158,88,0,0,183,175,240,17,1013616287
65427,89,0,0,183,179,269,17,1013616288
65637,91,0,0,182,181,210,17,1013616289
65875,91,0,0,181,180,238,17,1013616290
66099,91,0,0,181,174,224,17,1013616291
66337,91,0,0,182,184,238,17,1013616292
66592,94,0,0,184,174,255,17,1013616293
66892,95,0,0,184,178,300,17,1013616294
67191,96,0,0,184,179,299,17,1013616295
67544,100,0,0,182,179,353,17,1013616296
67876,99,0,0,182,185,332,17,1013616297
68248,96,0,0,182,178,372,17,1013616298
68590,97,0,0,181,178,342,17,1013616299
68939,98,0,0,181,178,349,17,1013616300
69270,98,0,0,181,179,331,17,1013616301
69632,98,0,0,182,178,362,17,1013616302
69983,99,0,0,181,180,351,17,1013616303
70332,99,0,0,181,174,349,17,1013616304
70656,99,0,0,181,176,324,17,1013616305
70963,98,0,0,181,179,307,17,1013616306
71272,97,0,0,182,173,309,17,1013616307
71516,95,0,0,183,177,244,17,1013616308
71820,98,0,0,182,178,304,17,1013616309
72131,98,0,0,182,174,311,17,1013616310
72411,98,0,0,182,177,280,17,1013616311
72690,98,0,0,182,180,279,17,1013616312
72980,98,0,0,182,174,290,17,1013616313
73206,98,0,0,181,180,226,17,1013616314
73411,97,0,0,180,177,205,17,1013616315
73628,92,0,0,180,185,217,17,1013616316
73884,91,0,0,180,176,256,17,1013616317
74085,91,0,0,180,178,201,17,1013616318
74285,90,0,0,179,179,200,17,1013616319
74483,89,0,0,179,183,198,17,1013616320
74742,88,0,0,178,182,259,17,1013616321
74980,91,0,0,177,173,238,17,1013616322
75295,93,0,0,177,176,315,17,1013616323
75618,95,0,0,176,176,323,17,1013616324
75917,98,0,0,177,180,299,17,1013616325
