,Make,Model,Year,Odometer
0,Opel,Vectra,2004,307000
1,Ford,Focus,2003,262000
2,Citroën,C5,2004,209000
3,Kia,cee'd,2008,232000
4,Hyundai,Getz,2005,200000
5,Mazda,626,2001,326000
6,Volkswagen,Passat,2007,395000
7,Opel,Vectra,2005,302000
8,Renault,Laguna,2003,246000
9,Peugeot,206,2005,225000
10,Volkswagen,Golf,2004,216000
11,Peugeot,407,2004,285000
12,Mazda,6,2003,347000
13,Nissan,Primera,2006,265000
14,Skoda,Octavia,2004,304000
15,Volkswagen,Bora,2003,209700
16,Ford,Focus,2001,145000
17,Volkswagen,Vento,1996,227000
18,Chrysler,Sebring,2004,234000
19,Nissan,Primera,2007,283000
20,Fiat,Bravo,2008,309000
21,Toyota,Avensis,2004,370000
22,Kia,Carnival,2005,309000
23,Volvo,V70,1998,295000
24,Peugeot,206,2005,180000
25,Opel,Meriva,2003,158000
26,Toyota,Auris,2008,437000
27,Renault,Kangoo,2006,448000
28,Honda,Civic,2001,241000
29,Mercedes-Benz,E,1995,239000
30,Volvo,V70,2001,490000
31,Ford,Focus,2004,266000
32,Ford,Focus,1999,226000
33,Skoda,Octavia,2003,294000
34,Kia,Magentis,2007,125000
35,Opel,Astra,2008,359000
36,Nissan,Primera,2007,189000
37,Citroën,Xsara,2005,216000
38,Fiat,Punto,2007,174000
39,Renault,Clio,1999,154000
40,Ford,Focus,2000,180000
41,Toyota,Yaris,2001,302000
42,Ford,Mondeo,2006,246000
43,Ford,Fiesta,2006,254000
44,Nissan,Maxima,1998,270000
45,Volvo,S40,2005,280000
46,Citroën,Xsara,2004,165000
47,Volkswagen,Golf,2006,288000
48,Renault,Laguna,2009,356000
49,Volkswagen,Golf,1998,350000
50,Citroën,C3,2004,181585
51,Nissan,Almera,1998,111167
52,Citroën,C4,2008,245000
53,Volkswagen,Passat,2002,330000
54,Opel,Vectra,2003,316000
55,Opel,Meriva,2004,188000
56,Toyota,Yaris,1999,230000
57,Ford,Focus,2005,262000
58,Nissan,Tiida,2008,176000
59,Volvo,S40,2001,240000
60,Opel,Corsa,2003,223000
61,Opel,Corsa,2003,202000
62,Peugeot,206,2005,214000
63,Volkswagen,Golf,2004,298000
64,Peugeot,Expert,2001,251303
65,Nissan,Almera,2001,150000
66,Peugeot,206,2004,241000
67,Renault,Mégane,2003,211300
68,Ford,Focus,2003,197000
69,Volvo,V70,2005,500000
70,Ford,Mondeo,2005,323500
71,Chrysler,Sebring,2004,183000
72,Renault,Mégane,2003,263774
73,Opel,Vectra,2005,247000
74,Mazda,3,2005,250000
75,Volkswagen,Golf,2004,304000
76,Nissan,Almera,2003,207000
77,Chevrolet,Kalos,2005,130852
78,Volkswagen,Passat,2004,256000
79,Opel,Zafira,2007,389000
80,Volvo,S60,2001,294000
81,Fiat,Punto,2004,147000
82,Hyundai,Getz,2006,145000
83,Skoda,Octavia,2000,205000
84,Saab,9-3,2000,266000
85,Volvo,S80,2000,332000
86,Toyota,Avensis,1999,298000
87,Hyundai,Trajet,2003,181000
88,Skoda,Octavia,2004,276000
89,Mercedes-Benz,C,1998,115000
90,Volkswagen,Touran,2004,390000
91,Citroën,C4,2005,258000
92,Volkswagen,Passat,2005,360000
93,Peugeot,307,2006,227000
94,Citroën,C3,2007,193000
95,Fiat,Panda,2008,186000
96,Alfa,Romeo,1998,194000
97,Ford,Focus,2006,270000
98,Ford,Mondeo,2004,298000
99,Skoda,Fabia,2003,169900
100,Volkswagen,Polo,2004,225000
101,Peugeot,206,2006,184000
102,Volvo,240,1990,392000
103,Peugeot,Boxer,2005,290000
104,Peugeot,407,2005,242000
105,Peugeot,307,2008,232000
106,Volvo,S60,2005,384000
107,Peugeot,307,2005,244800
108,Subaru,Outback,1999,295000
109,Opel,Vectra,2006,313000
110,Kia,Cerato,2006,214000
111,Volvo,S40,2004,331400
112,Citroën,C4,2008,195000
113,Mitsubishi,Grandis,2006,384000
114,Audi,A6,2003,379000
115,Renault,Scénic,2007,243350
116,Kia,Cerato,2005,169000
117,Toyota,Avensis,2007,472000
118,Nissan,Primera,2005,213000
119,Toyota,Corolla,2003,313000
120,Kia,cee'd,2007,265000
121,Volkswagen,Bora,2005,217000
122,Peugeot,307,2007,225000
123,Toyota,Corolla,2004,338000
124,Toyota,Corolla,2002,304000
125,Volkswagen,Polo,2004,217000
126,Renault,Mégane,2006,179500
127,Honda,Civic,2002,212000
128,Daewoo,Evanda,2005,127000
129,Chevrolet,Nubira,2008,188000
130,Saab,9-5,2003,355000
131,Chrysler,Pt,2005,207000
132,Skoda,Fabia,2008,343000
133,Toyota,Corolla,2007,423000
134,Volkswagen,Passat,2000,374000
135,Nissan,Primera,2005,245000
136,Peugeot,307,2004,257000
137,Peugeot,406,2002,360000
138,Volkswagen,Golf,2003,233000
139,Chevrolet,Epica,2009,263000
140,Mercedes-Benz,Vito,2005,595000
141,Mazda,323,2001,180000
142,Honda,CR-V,2001,458000
143,Ford,Focus,2003,230000
144,Kia,cee'd,2007,259000
145,Volvo,S60,2005,416000
146,Volkswagen,Passat,2003,280000
147,Volkswagen,Touran,2003,270000
148,Nissan,Maxima,2001,260000
149,Volkswagen,Passat,2004,263000
